date,USA,Germany,Poland,Hungary,France,China,UK
2022-09-10,1,2,5,0,0,2,2
2020-01-30,7,0,0,0,2,1,2
2023-02-09,7,4,0,0,1,1,5
2021-02-11,4,3,0,0,0,0,0
2020-02-20,24,0,2,0,0,0,26
2022-04-11,26,9,4,0,8,12,14
2021-03-15,4,0,3,0,0,0,0
2022-09-30,81,10,23,1,25,9,9
2022-10-22,4,0,0,5,0,7,0
2022-06-10,11,0,2,0,0,23,18
2020-04-30,4,0,0,0,0,2,1
2021-10-08,0,0,0,0,0,4,0
2021-12-26,4,2,0,0,0,0,0
2023-07-25,23,0,3,0,1,14,12
2023-01-25,11,10,4,3,0,5,0
2020-09-18,7,2,9,0,0,1,0
2021-07-20,0,0,1,3,0,0,0
2021-05-18,1,0,0,0,0,9,1
2020-03-07,6,1,0,0,0,0,0
2022-09-18,12,3,3,4,2,7,2
2020-12-13,0,4,0,0,0,0,0
2022-11-05,8,0,3,3,1,4,0
2023-09-07,20,0,0,1,8,4,5
2022-03-29,34,10,14,4,6,18,6
2020-08-02,1,2,0,0,0,0,0
2021-06-18,7,2,1,0,0,0,0
2023-02-16,1,6,2,2,0,12,2
2023-05-24,7,0,0,2,2,23,4
2021-07-04,0,0,0,0,0,3,0
2020-10-15,0,3,2,0,4,3,7
2022-01-03,3,0,0,0,0,0,0
2023-02-11,4,2,0,0,3,1,0
2020-07-27,7,1,0,0,0,0,0
2023-03-01,10,3,0,3,2,16,1
2022-06-14,6,4,0,0,0,13,0
2020-10-27,0,2,0,0,0,4,0
2021-09-27,1,12,0,0,0,0,0
2021-09-20,6,0,0,0,2,2,3
2022-03-26,41,5,15,0,3,16,7
2022-06-15,0,4,0,1,0,24,4
2022-05-17,15,2,0,9,3,6,2
2022-01-12,5,2,0,0,0,3,0
2022-04-26,26,14,5,0,2,12,4
2020-12-22,8,5,0,0,2,0,0
2023-11-20,2,1,0,0,0,10,1
2023-02-04,7,5,0,2,2,1,0
2021-06-08,5,3,3,0,0,0,0
2023-02-18,8,13,0,0,0,22,3
2020-02-16,9,7,2,0,2,2,0
2023-05-25,33,0,0,9,2,21,2
2020-08-08,5,0,0,0,0,0,0
2023-08-16,7,6,3,0,3,16,2
2023-03-10,2,0,0,0,0,12,5
2023-02-24,15,16,6,0,22,43,5
2020-04-26,0,0,0,0,0,0,2
2020-09-01,5,0,0,0,0,7,0
2020-01-23,3,0,13,0,0,1,0
2021-09-30,2,1,0,0,1,0,0
2021-02-27,0,0,0,0,0,0,0
2024-01-29,10,0,0,2,0,9,2
2020-08-20,9,1,0,0,0,1,2
2021-04-01,1,0,0,0,0,8,5
2021-09-23,3,1,0,0,0,0,1
2020-02-17,9,4,0,0,0,0,0
2020-11-14,0,4,0,0,0,0,0
2022-10-12,42,3,0,0,6,4,10
2020-06-23,5,3,5,0,2,3,0
2020-06-24,4,6,0,0,0,0,0
2020-06-25,4,10,3,0,0,0,0
2021-08-10,4,0,1,0,0,2,0
2021-06-30,8,2,0,0,0,0,1
2024-01-07,0,4,0,2,1,0,3
2022-11-09,18,2,2,5,0,8,0
2023-05-23,10,10,0,11,6,18,6
2021-12-06,3,5,6,0,2,2,0
2021-03-28,0,2,3,0,0,4,0
2021-08-14,0,0,0,0,0,2,6
2020-09-25,7,1,0,0,0,2,1
2022-01-16,3,3,0,0,0,0,0
2024-02-24,12,8,5,4,6,0,3
2020-06-27,3,0,3,0,0,0,0
2023-09-19,12,4,0,0,2,7,3
2022-02-10,11,5,0,0,6,2,1
2023-03-14,32,0,0,3,0,11,2
2023-02-13,2,5,1,1,2,5,0
2021-04-02,11,0,0,0,0,1,0
2021-05-19,11,3,0,0,0,0,3
2020-06-18,13,2,0,0,0,2,1
2022-04-18,25,2,0,0,1,10,0
2023-03-22,10,0,0,0,0,27,0
2023-07-03,5,2,0,3,0,8,5
2022-01-05,2,0,2,0,0,0,0
2023-01-01,8,0,0,0,0,9,0
2021-09-13,2,2,0,0,0,4,0
2021-02-17,7,1,1,1,0,0,0
2021-08-17,0,0,2,0,0,0,0
2023-01-21,5,2,0,0,0,1,0
2021-02-14,2,0,0,0,0,0,2
2020-09-03,13,23,1,0,3,5,3
2023-06-08,20,4,0,0,0,6,4
2020-02-03,0,0,0,0,0,2,0
2022-07-14,6,3,0,0,0,3,2
2020-10-28,2,0,0,0,0,5,0
2023-04-23,4,6,0,3,2,7,2
2023-06-25,11,2,0,0,2,3,1
2021-08-19,1,2,0,0,2,1,0
2020-02-04,11,0,1,0,2,1,0
2021-07-31,3,0,0,0,0,0,0
2022-08-12,7,3,0,0,4,13,0
2020-08-09,0,0,0,0,0,0,0
2023-03-21,15,2,1,0,3,48,0
2022-11-16,25,1,20,0,2,17,8
2022-08-25,19,2,5,0,2,7,0
2020-08-05,4,2,0,0,0,0,0
2021-11-13,9,0,1,0,1,1,0
2024-01-26,5,0,0,0,13,3,1
2024-02-21,39,3,8,0,0,14,7
2020-10-21,3,0,0,0,0,1,3
2020-01-15,4,0,0,0,0,1,0
2022-05-26,11,5,0,2,2,5,8
2023-05-31,12,12,4,0,0,17,15
2023-11-12,1,1,0,3,1,4,0
2020-01-22,3,0,7,0,4,2,0
2020-08-29,4,2,0,0,1,0,1
2023-09-22,7,9,0,0,0,8,1
2021-04-15,29,0,6,0,2,2,1
2022-05-04,8,4,0,12,10,15,5
2022-06-18,10,6,0,0,0,3,0
2021-06-07,17,0,0,0,0,0,2
2021-07-19,4,3,0,2,0,0,0
2021-01-02,0,0,0,0,1,0,0
2021-06-23,0,3,1,0,0,2,1
2022-08-26,15,8,0,0,0,5,0
2023-10-30,38,1,0,2,0,13,0
2022-03-20,23,4,0,3,0,73,30
2021-02-04,6,2,0,2,1,3,4
2023-11-09,6,0,0,6,11,8,1
2021-05-30,3,0,0,0,0,1,4
2020-05-23,9,0,0,0,0,2,0
2020-09-14,5,6,0,0,5,3,0
2021-03-12,2,0,17,0,0,0,0
2023-10-26,12,5,0,5,0,5,0
2020-10-04,0,0,0,0,0,0,0
2022-08-24,8,9,0,0,2,4,0
2023-03-30,38,8,7,6,7,24,3
2023-10-21,9,3,0,2,0,4,0
2021-07-15,0,0,0,0,0,0,0
2023-07-21,17,8,3,1,4,6,13
2020-09-28,9,3,0,0,0,0,0
2021-10-29,3,0,0,0,0,1,0
2022-08-03,7,11,2,1,0,23,1
2020-03-04,8,3,0,0,0,2,0
2022-07-26,11,6,0,1,2,7,2
2021-08-16,0,0,0,0,0,0,0
2021-07-09,6,0,0,0,2,0,0
2023-02-14,2,10,0,0,0,2,3
2023-12-08,14,3,0,0,1,9,2
2023-12-05,0,7,3,0,0,7,0
2020-01-09,4,0,11,0,0,0,1
2024-02-26,9,5,0,0,5,3,8
2021-03-08,3,0,0,0,0,4,0
2021-05-21,10,3,0,0,0,1,0
2020-03-27,3,0,5,0,0,0,0
2022-11-20,6,0,5,0,0,1,0
2022-02-19,60,14,0,3,0,2,16
2021-03-16,8,0,0,0,1,0,8
2021-08-12,0,0,0,0,0,0,0
2021-02-16,2,3,0,1,0,0,0
2023-06-16,10,6,0,0,10,10,3
2021-11-27,0,0,0,0,2,10,0
2021-10-17,3,2,0,0,1,0,0
2022-11-26,1,3,4,1,2,2,3
2023-03-16,13,0,0,0,0,20,2
2022-07-31,6,1,0,0,0,0,0
2020-05-30,6,0,0,0,0,1,2
2022-11-12,10,0,1,2,4,13,3
2023-11-03,10,0,0,0,5,4,0
2023-10-11,6,0,0,1,1,19,1
2024-02-11,26,2,0,0,6,2,3
2020-07-31,3,1,0,0,0,0,0
2023-12-31,6,3,0,0,0,1,3
2022-06-16,13,23,0,1,12,31,3
2021-10-06,0,0,0,0,0,0,0
2022-01-31,7,4,3,3,2,0,9
2022-06-04,0,6,0,0,3,5,3
2020-02-06,10,0,1,0,0,5,0
2022-12-27,2,6,0,2,4,9,0
2021-08-11,1,2,0,0,0,0,0
2021-01-10,0,1,0,0,0,2,0
2023-06-26,7,2,0,0,0,14,2
2022-08-15,5,2,0,1,0,2,3
2021-10-24,9,4,0,1,0,0,0
2022-09-05,1,1,0,0,1,2,4
2020-04-03,10,0,0,0,0,2,0
2023-01-05,11,6,0,0,0,2,0
2022-01-10,8,0,0,0,4,0,0
2024-02-23,17,0,0,10,6,4,1
2020-01-11,0,0,0,0,0,0,1
2021-02-05,9,31,4,0,21,1,7
2020-07-14,8,0,0,0,2,0,0
2022-06-03,5,26,0,0,2,7,0
2022-11-22,8,3,6,0,4,7,4
2020-05-12,1,0,0,0,0,1,0
2023-12-14,3,2,0,0,0,0,0
2021-10-09,1,0,0,0,0,0,0
2020-02-13,18,2,6,0,0,0,0
2022-02-25,218,58,27,20,36,72,57
2020-12-12,4,0,1,0,0,0,0
2020-07-05,2,0,2,0,0,0,0
2022-08-13,9,0,0,0,0,3,3
2021-01-07,2,0,0,0,0,2,2
2020-04-21,1,1,0,0,0,3,1
2020-10-18,1,0,0,0,0,1,0
2020-02-07,8,0,0,0,0,0,0
2022-01-17,7,0,0,0,0,4,0
2022-12-08,15,7,0,1,3,12,0
2022-07-16,6,0,1,1,0,2,0
2023-11-22,4,4,0,6,2,7,0
2022-10-25,24,7,0,0,12,5,16
2023-06-21,28,2,0,0,3,12,5
2024-01-04,4,0,2,0,4,4,8
2021-02-22,2,3,0,0,0,7,8
2023-10-24,16,0,0,0,1,8,0
2020-02-29,6,0,0,0,1,0,0
2020-07-24,14,1,0,0,2,0,6
2024-02-20,38,4,3,4,8,6,4
2022-03-30,31,14,5,8,0,56,8
2020-05-07,4,0,5,0,0,7,0
2024-01-30,4,0,0,5,2,7,3
2022-01-11,3,3,0,0,2,3,4
2021-06-29,0,2,0,3,0,0,0
2020-05-01,8,0,0,0,0,0,0
2023-07-02,3,2,0,0,0,7,0
2020-03-29,0,1,0,0,0,0,0
2020-12-03,2,0,0,0,1,1,1
2022-01-25,6,5,0,0,2,3,6
2023-06-29,16,8,2,0,2,12,2
2022-09-06,23,0,0,0,0,8,5
2020-01-07,11,0,0,0,0,5,0
2023-03-11,0,2,0,0,0,8,0
2021-05-27,10,2,0,0,0,3,2
2021-07-17,9,0,0,0,0,2,0
2020-09-10,14,4,0,0,3,1,3
2021-07-24,4,0,0,0,0,0,0
2023-01-03,4,0,0,0,0,2,0
2021-04-11,1,2,0,0,2,2,0
2022-06-17,15,4,0,0,1,3,8
2021-10-10,2,0,0,0,0,2,0
2020-08-12,17,0,0,0,0,0,3
2022-10-05,17,4,5,1,0,6,2
2024-02-29,12,6,5,0,5,8,0
2021-07-25,5,0,0,0,0,0,3
2021-07-10,3,0,0,0,0,1,1
2020-12-01,6,1,0,0,0,1,0
2021-05-20,10,4,0,0,0,2,3
2023-10-03,2,7,0,0,0,0,0
2021-03-23,8,2,0,0,0,23,1
2022-06-06,9,0,0,2,2,3,5
2023-12-11,6,3,1,1,0,2,2
2023-05-07,0,0,0,0,0,0,0
2023-09-11,18,8,0,1,3,12,6
2022-05-19,59,6,2,2,13,11,1
2022-08-19,13,0,1,0,19,4,0
2021-01-16,5,3,0,0,0,0,0
2020-09-11,8,2,0,0,0,0,0
2022-02-17,22,1,0,0,2,5,10
2022-07-11,16,6,0,0,7,6,2
2021-03-22,5,3,0,0,0,3,2
2023-08-15,11,2,0,0,5,3,0
2022-01-30,8,3,0,0,0,0,2
2022-10-27,15,0,3,6,4,11,5
2021-11-03,18,0,0,0,0,9,8
2020-10-07,9,15,0,0,19,0,2
2022-11-02,9,8,0,0,15,3,5
2021-02-28,2,0,0,0,0,0,0
2023-05-16,24,6,3,6,3,7,4
2021-10-11,1,0,0,0,3,0,0
2022-03-05,59,9,3,3,12,27,25
2023-01-07,0,0,2,0,0,4,0
2021-09-21,3,0,4,0,0,0,9
2021-01-18,61,24,3,0,10,4,23
2022-07-20,1,1,0,0,0,9,2
2021-12-24,6,1,2,0,8,2,4
2020-02-15,7,11,2,0,3,4,0
2024-01-24,18,5,0,0,6,2,0
2022-03-21,46,10,5,2,2,45,16
2021-09-18,2,0,0,0,0,0,0
2020-05-16,12,1,0,0,0,0,2
2023-01-08,4,4,0,0,3,5,3
2020-12-08,0,2,0,0,5,5,0
2020-01-20,1,6,3,0,0,0,0
2023-06-05,24,0,0,0,3,5,0
2020-05-11,5,0,0,0,0,3,1
2022-11-30,14,0,1,1,0,5,2
2022-07-18,16,0,0,13,0,14,1
2020-11-04,2,0,0,0,0,0,0
2022-09-07,23,4,0,0,3,13,0
2022-01-13,13,1,1,0,4,2,3
2020-11-24,5,0,0,0,3,3,2
2021-01-15,2,0,0,0,0,1,0
2023-05-26,34,1,3,0,6,21,0
2022-12-15,2,13,1,3,0,7,0
2022-04-17,12,0,2,0,8,6,3
2022-05-05,11,11,0,1,21,9,6
2021-11-12,9,2,0,0,0,0,0
2023-10-06,16,3,0,0,0,1,3
2023-10-16,5,3,0,0,10,19,3
2022-05-14,18,7,4,24,5,11,0
2021-01-21,7,0,0,0,0,1,3
2022-09-15,9,0,1,1,6,45,1
2022-11-29,15,7,0,0,0,2,5
2024-01-27,1,6,3,2,5,6,3
2022-11-11,5,0,0,0,0,3,2
2024-03-10,5,4,6,2,0,0,0
2020-12-11,2,0,0,0,1,3,0
2023-10-02,0,1,1,0,0,5,2
2024-03-01,10,1,0,0,7,1,0
2020-12-31,3,0,0,0,2,0,0
2022-11-24,8,9,0,0,18,9,0
2022-12-28,6,2,0,0,1,6,0
2021-06-25,3,0,0,0,0,0,0
2021-04-27,2,0,6,9,0,2,2
2020-07-16,10,3,1,0,0,3,28
2022-10-31,19,4,0,0,0,10,0
2021-05-15,6,0,0,0,0,3,0
2022-11-10,4,0,0,0,0,5,3
2023-12-10,2,2,0,0,0,0,1
2021-03-17,13,2,0,0,0,4,5
2021-10-25,4,3,2,0,4,0,1
2023-04-03,20,6,7,0,7,12,2
2021-07-02,2,0,0,0,0,0,0
2023-05-13,8,0,1,0,0,9,2
2023-11-05,4,0,0,0,0,0,0
2024-01-28,3,1,1,0,0,1,0
2024-03-13,5,3,2,0,2,10,2
2020-01-27,3,2,9,0,0,2,0
2023-08-17,8,0,0,0,7,12,4
2022-08-16,4,0,3,0,7,2,3
2020-08-22,5,8,0,0,0,0,0
2022-09-03,5,4,0,0,2,8,0
2023-06-13,12,0,15,0,14,2,0
2020-11-17,3,0,0,0,0,2,0
2023-09-12,21,3,0,0,6,11,3
2020-04-16,1,0,0,0,0,5,0
2021-08-13,7,1,0,0,0,0,3
2022-11-28,6,2,1,0,1,3,2
2023-02-22,12,13,12,2,0,27,5
2022-11-13,12,2,0,0,2,20,3
2022-06-11,11,5,0,0,7,19,6
2023-08-04,25,10,0,0,4,7,9
2022-09-27,14,6,4,2,0,12,1
2021-06-12,4,0,0,0,2,0,0
2020-09-02,23,34,0,0,16,0,3
2022-08-06,3,0,5,3,0,3,1
2021-09-06,16,2,3,0,0,0,0
2021-04-30,9,4,0,0,0,0,0
2020-08-28,3,2,1,0,0,4,1
2020-05-26,4,0,0,0,0,1,0
2023-04-25,17,7,1,7,6,9,11
2020-01-25,4,0,0,0,0,0,0
2020-11-22,4,0,0,0,0,0,0
2021-02-26,6,4,0,0,0,3,0
2022-09-04,5,1,0,0,2,7,0
2022-06-07,5,21,1,0,0,4,0
2023-07-20,27,11,4,3,3,13,23
2020-12-28,4,0,0,0,0,0,4
2021-11-10,6,0,3,0,0,0,0
2021-05-12,10,3,0,0,3,2,4
2022-11-23,12,3,0,0,5,3,1
2020-02-11,2,0,1,0,1,4,0
2023-01-26,6,16,0,0,1,4,2
2020-04-08,6,0,0,0,0,0,0
2022-01-22,5,2,0,0,0,0,2
2023-04-14,7,7,0,10,1,27,4
2021-06-20,0,0,0,0,0,0,0
2024-01-11,9,0,0,3,0,0,1
2020-11-12,1,0,0,0,0,0,2
2022-12-05,7,0,0,0,6,9,0
2022-02-28,202,17,8,11,21,49,24
2024-03-15,19,3,0,2,4,3,12
2022-10-09,13,0,0,0,0,2,2
2020-03-26,5,1,2,0,0,0,0
2021-05-03,11,0,5,1,3,0,0
2021-03-01,0,0,0,0,3,0,0
2021-11-22,3,2,0,0,0,4,0
2023-02-03,4,3,0,4,1,16,8
2022-02-22,151,63,2,15,117,34,56
2020-06-28,15,0,0,0,0,0,0
2023-11-17,3,0,0,0,0,6,2
2023-01-17,7,7,0,7,3,4,4
2023-01-16,2,7,2,0,3,1,0
2024-01-05,4,1,0,0,1,5,47
2022-10-01,60,1,7,0,6,19,4
2021-06-13,3,3,0,0,0,0,3
2023-03-24,0,0,0,0,0,1,0
2022-01-26,15,3,0,0,5,0,7
2022-01-14,4,0,0,0,0,0,0
2020-11-11,0,1,0,0,0,0,0
2022-07-03,8,7,0,3,8,13,1
2023-09-10,12,3,0,0,4,14,2
2023-09-23,1,1,1,0,0,2,3
2021-05-26,2,3,1,0,0,0,0
2021-04-06,8,4,0,0,0,0,2
2023-08-19,12,0,1,0,8,2,1
2020-12-27,6,0,0,0,0,0,0
2023-06-27,15,7,0,6,4,20,0
2023-12-28,4,3,0,3,0,15,2
2024-01-01,1,1,0,0,2,5,0
2022-12-11,4,1,0,0,0,0,2
2021-12-18,5,0,0,0,0,2,0
2021-11-07,2,0,0,0,0,6,0
2022-01-01,4,3,0,0,0,0,3
2023-04-17,42,21,0,5,1,24,58
2022-10-26,16,1,4,1,1,4,3
2021-12-10,8,0,5,2,0,9,3
2024-02-13,19,8,0,3,8,8,1
2021-10-30,0,0,0,0,0,0,0
2022-05-21,17,2,0,2,4,3,0
2023-08-25,3,6,0,0,2,6,1
2020-04-02,1,0,0,0,0,4,0
2023-04-28,4,7,0,4,10,29,0
2023-04-30,9,1,11,7,0,8,0
2022-12-12,15,0,6,0,1,8,0
2021-03-21,0,4,0,0,0,4,2
2020-05-13,6,8,1,0,1,0,0
2023-08-27,1,0,0,2,0,2,0
2024-02-04,5,0,0,0,1,0,0
2024-03-11,11,1,5,1,0,4,0
2022-10-04,11,5,8,4,4,6,4
2022-10-06,20,0,8,0,3,10,1
2022-03-24,37,8,6,0,8,34,7
2023-01-28,6,11,0,1,2,3,0
2021-08-26,4,0,0,0,0,0,0
2021-12-15,7,22,0,0,0,8,0
2020-12-25,6,1,0,0,1,6,1
2021-05-24,1,0,0,0,0,4,2
2020-11-15,0,0,0,0,0,0,0
2020-04-11,0,0,2,0,0,1,0
2020-03-06,7,0,0,0,0,4,0
2022-05-16,15,9,0,7,4,6,5
2023-07-31,17,0,2,0,1,4,14
2022-01-06,9,0,0,0,0,0,0
2020-04-09,0,0,0,0,0,0,0
2020-04-01,2,3,0,0,0,0,0
2022-08-14,3,0,0,0,0,2,1
2022-09-24,16,6,0,2,0,5,5
2023-03-13,6,0,0,0,0,17,0
2021-11-28,1,2,0,0,0,6,0
2023-09-02,5,0,0,0,0,9,3
2020-06-29,9,4,0,0,7,0,4
2020-10-08,5,1,0,0,2,0,1
2023-10-23,2,2,0,0,1,13,0
2020-10-24,3,0,0,0,0,0,0
2021-01-22,1,0,1,2,0,0,0
2021-04-17,5,0,0,0,0,0,0
2023-04-12,23,2,2,8,6,7,5
2022-06-26,9,12,0,3,4,3,3
2021-09-09,2,1,0,0,0,0,0
2021-01-24,41,2,0,0,18,0,13
2020-01-19,2,0,0,0,0,4,0
2022-09-02,1,0,5,0,3,8,0
2022-08-30,11,4,0,0,4,4,4
2023-10-15,3,0,0,0,0,15,5
2020-10-16,0,0,0,0,0,0,2
2021-05-08,3,0,0,2,0,0,0
2021-11-17,10,5,2,0,8,2,3
2022-08-21,1,6,0,0,3,2,0
2021-08-18,1,2,0,0,0,1,0
2024-01-31,6,2,0,0,2,17,1
2022-02-01,8,3,6,7,2,0,3
2020-05-29,15,5,0,0,0,0,1
2023-12-17,12,3,0,2,0,3,0
2021-01-31,29,5,0,0,0,0,2
2020-05-02,0,0,0,0,0,1,0
2020-10-11,1,0,0,0,3,0,0
2023-12-09,5,3,0,1,0,1,1
2023-01-12,15,0,0,0,2,9,0
2023-12-04,6,0,0,0,2,5,0
2022-06-12,5,15,0,0,13,13,0
2023-04-22,7,4,0,10,0,5,2
2023-03-03,6,1,0,2,4,20,3
2020-10-23,2,0,0,0,0,2,0
2022-06-01,8,5,0,0,2,7,0
2022-09-13,14,3,0,0,0,19,2
2023-03-07,8,4,0,2,2,24,0
2022-04-28,33,32,40,0,7,18,2
2023-07-26,10,0,0,0,1,8,9
2021-11-08,9,0,1,0,0,4,3
2022-07-08,19,15,0,0,0,13,5
2022-12-22,9,0,0,0,9,10,8
2023-12-25,2,0,1,0,2,2,0
2021-07-07,7,0,0,0,2,1,0
2023-04-27,16,0,0,3,4,66,5
2020-07-19,2,1,0,0,0,0,7
2020-12-06,0,0,0,0,0,2,1
2022-01-28,7,21,0,0,0,0,1
2022-04-09,19,5,13,6,7,9,9
2020-06-02,3,1,0,0,0,0,0
2022-07-04,3,4,1,0,9,21,0
2023-12-07,4,0,0,0,0,12,10
2022-04-06,34,16,6,15,7,41,14
2021-07-30,3,1,0,0,0,4,0
2020-07-20,11,0,0,0,0,5,3
2021-03-06,2,0,0,0,0,1,0
2021-09-19,0,0,0,0,1,0,0
2021-02-24,6,0,0,0,0,0,0
2020-07-06,0,0,0,0,0,2,1
2024-02-02,2,3,5,0,13,5,0
2020-03-19,0,0,0,0,2,3,0
2021-10-20,5,3,0,0,0,0,0
2020-02-24,9,0,0,0,0,0,0
2021-01-01,2,0,0,0,0,0,0
2020-03-30,2,1,0,0,0,0,0
